State,Region
Aguascalientes,West
Baja California,North
Baja California Sur,North
Campeche,South
Chiapas,South
Chihuahua,North
Ciudad de Mexico,Center
Coahuila,North
Colima,West
Durango,North
Guanajuato,Center
Guerrero,West
Hidalgo,East
Jalisco,West
Mexico,Center
Michoacan,West
Morelos,Center
Nayarit,West
Nuevo Leon,North
Oaxaca,South
Puebla,East
Querétaro,Center
Quintana Roo,South
San Luis Potosí,Center
Sinaloa,North
Sonora,North
Tabasco,South
Tamaulipas,North
Tlaxcala,East
Veracruz,East
Yucatan,South
Zacatecas,Center
